queue_ns,network_ns,total_ns
164,96364,96528
125,94801,94926
8272,97671,105943
243,94241,94484
2710,113557,116267
96,110377,110473
194,96275,96469
184,113886,114070
184,95862,96046
184,101642,101826
184,54448,54632
145,105346,105491
179,103321,103500
106,96176,96282
126,101768,101894
116,97375,97491
175,96678,96853
15575,112392,127967
184,90988,91172
175,94683,94858
184,104255,104439
115,88757,88872
253,111921,112174
184,105027,105211
174,94959,95133
183,98280,98463
164,102968,103132
184,114004,114188
150,80600,80750
174,97592,97766
327,99489,99816
247,97081,97328
214,105985,106199
263,98231,98494
371,101159,101530
174,110348,110522
174,93956,94130
125,94545,94670
116,78290,78406
125,89494,89619
116,91666,91782
184,97218,97402
193,91214,91407
2985,111665,114650
233,103842,104075
184,93543,93727
184,87734,87918
126,111891,112017
184,95224,95408
283,92521,92804
175,95233,95408
292,91204,91496
7791,105060,112851
253,96746,96999
223,98565,98788
243,103361,103604
194,98644,98838
233,107016,107249
115,91469,91584
184,87568,87752
165,91744,91909
125,98211,98336
116,95577,95693
248,95715,95963
214,90781,90995
144,90280,90424
194,118544,118738
184,108894,109078
185,89847,90032
164,97503,97667
194,93533,93727
106,92923,93029
115,94742,94857
115,92098,92213
184,113100,113284
184,106349,106533
115,100668,100783
193,88364,88557
165,105474,105639
184,103764,103948
184,97277,97461
164,97376,97540
105,99567,99672
11485,86339,97824
2709,91175,93884
175,95813,95988
115,117532,117647
184,96589,96773
214,96903,97117
174,94143,94317
175,99675,99850
116,94791,94907
115,94457,94572
165,97031,97196
174,87529,87703
174,96068,96242
184,92845,93029
116,96904,97020
174,85789,85963
164,104806,104970
173,99234,99407
189,99636,99825
183,96265,96448
115,90997,91112
174,90536,90710
174,110810,110984
185,97660,97845
185,98633,98818
165,97267,97432
145,97346,97491
165,93366,93531
8999,102329,111328
258,99597,99855
253,114230,114483
263,96766,97029
135,97100,97235
184,102958,103142
125,94428,94553
184,93071,93255
209,98712,98921
5197,88835,94032
155,93415,93570
116,96344,96460
116,90044,90160
125,89111,89236
116,95361,95477
184,106928,107112
125,95577,95702
175,110063,110238
115,95381,95496
184,95656,95840
175,97906,98081
125,93268,93393
115,93288,93403
125,97180,97305
3968,104589,108557
184,129886,130070
125,100068,100193
175,98171,98346
204,87823,88027
125,94192,94317
184,94250,94434
194,95597,95791
106,94869,94975
125,97622,97747
125,95479,95604
125,97357,97482
125,93878,94003
194,93858,94052
174,85681,85855
125,97336,97461
115,97258,97373
116,94545,94661
105,94634,94739
125,99813,99938
115,94143,94258
116,95184,95300
4263,104560,108823
174,95410,95584
105,95606,95711
165,95488,95653
164,95027,95191
154,95273,95427
184,90772,90956
125,103233,103358
184,109199,109383
164,96885,97049
155,94368,94523
125,100176,100301
125,55618,55743
165,94417,94582
116,97542,97658
125,95184,95309
116,97611,97727
174,97140,97314
5049,94358,99407
126,97828,97954
106,94574,94680
125,98123,98248
115,94015,94130
126,93995,94121
184,97150,97334
26171,115751,141922
177,96538,96715
186,106542,106728
187,98125,98312
167,94346,94513
18092,104086,122178
196,99398,99594
197,106827,107024
177,112674,112851
491,130502,130993
177,92783,92960
187,84902,85089
178,95033,95211
178,96950,97128
190,89982,90172
276,110443,110719
187,110306,110493
147,83212,83359
157,100979,101136
187,94002,94189
187,86985,87172
172,101594,101766
178,113706,113884
176,99712,99888
187,97029,97216
109,104625,104734
187,94090,94277
177,90867,91044
187,94739,94926
177,92730,92907
247,93480,93727
138,97402,97540
206,97727,97933
167,88282,88449
118,94041,94159
118,93830,93948
118,97373,97491
